id,NPC,Action,Dialog
10001,Aside,Prologue,"In the Age of Ancients, the world was unformed, shrouded by fog. A land of grey crags, archtrees, and everlasting dragons. But then there was Fire. And with Fire, came Disparity. Heat and cold, life and death, and of course... Light and Dark. Then, from the Dark, They came, and found the Souls of Lords within the flame. Nito, the first of the dead, the Witch of Izalith, and her Daughters of Chaos, Gwyn, the Lord of Sunlight, and his faithful knights, and the furtive pygmy, so easily forgotten. With the Strength of Lords, they challenged the dragons. Gwyn's mighty bolts peeled apart their stone scales. The witches weaved great firestorms. Nito unleashed a miasma of death and disease. And Seath the Scaleless betrayed his own, and the dragons were no more. Thus began the Age of Fire. But soon, the flames will fade, and only Dark will remain. Even now, there are only embers, and man sees not light, but only endless nights. And amongst the living are seen, carriers of the accursed Darksign."
10002,Aside,Northern Undead Asylum,"Yes, indeed. The Darksign brands the Undead. And in this land, the Undead are corralled and led to the north, where they are locked away, to await the end of the world. ...This is your fate."
10003,Aside,Leaving Undead Asylum,"Only, in the ancient legends it is stated, that one day an Undead shall be chosen to leave the Undead Asylum, in pilgrimage, to the land of the Ancient Lords, Lordran."
20001,Chester,Talk-1st time,"Hm...Oh, let me guess... Snatched by a shadowy limb, and dragged off to the past?"
20002,Chester,"Choose ""No"" to his query","Oh, well, my mistake... But we are both travellers. We ought to help one another out."
20003,Chester,"Choose ""Yes"" to his query","Yes, of course. Exactly what happened to me. We are both strangers in this strange land. But, at least now there are two of us."
20004,Chester,Talk-2nd time,"Oh, still alive, are you? Think of anything that you might need?"
20005,Chester,Talk-3rd time,"Oh, for Juniper's sake. Put some spring into your step! Mwah hah hah!"
20006,Chester,"Menu-Choose ""Talk"" before defeating Artorias","Did you happen across Knight Artorias? The legendary Abysswalker, from the old tales. ...Well, if you haven't, it's just as well... He's a colourless sort, if you ask me. Mwah hah hah!"
20007,Chester,"Menu-Choose ""Talk"" after accepting Elizabeth's query","So, what did that giant mushroom make you do? Not that I care. It's none of my business. But I do wonder about those sorceries of hers... Heh heh heh..."
20008,Chester,"Menu-Choose ""Talk"" 1st time","Hm? I've little to talk about, really. Oh, you know me. What do I know? Heh heh!"
20009,Chester,"Menu-Choose ""Talk"" 1st time after defeating Artorias","Did you really slay Knight Artorias? I'd heard the Abyss found him first, but even still... That's absolutely treacherous. Yes, magnificently so! Mwah hah hah!"
20010,Chester,"Menu-Choose ""Talk"" 2nd time after defeating Artorias","Believe it or not, Oolacile has brought the Abyss upon itself. Fooled by that toothy serpent, they upturned the grave of primeval man, and incited his ornery wrath. What could they have been thinking? But to you and I, it's all ancient history. You have to ask yourself. Does it really matter? Heh heh heh..."
20011,Chester,Talk-After he invades the protagonist in the Oolacile Township,"Oh, you again... What ever's the matter? No, I can tell. You need me more than ever. Mwah hah hah!"
20012,Chester,Talk-After vanquishing his Dark Phantom in the Oolacile Township,"...Oh, you! You have quite some nerve. Or are you just thick? Fine, then. What is it that you need?"
20013,Chester,"Menu-Choose ""Talk"" after he invaded as Dark Phantom, but not vanquished","What? If you've something to say, then say it! Just don't say the wrong thing... Heh heh heh!"
20014,Chester,"Menu-Choose ""Talk"" after vanquishing his Dark Phantom","...Well, you've quite the nerve! I've had enough of you!"
20015,Chester,"Menu-Choose ""Leave""",So long.
20016,Chester,"Menu-Choose ""Leave"" after he invaded as Dark Phantom, but not vanquished",So long. ...We'll be seeing each other... Gee hee hee!
20017,Chester,"Menu-Choose ""Leave"" after vanquishing his Dark Phantom",I'll be seeing you. If you survive your travels...
20018,Chester,Upon being attacked-1st time,Ooph!
20019,Chester,Upon being attacked-2nd time,Erg!
20020,Chester,Upon being attacked-3rd time,Oww!
20021,Chester,Upon being attacked-4th time,That bloody hurts!
20022,Chester,Upon being attacked & made hostile,"Oh! It's come to blows, has it? Fine, then. I've had enough of you, anyway!"
20023,Chester,"Upon being attacked & made hostile, after he invaded in Oolacile Township","What now? You think this my fault? How very, very petty of you! Very petty, indeed!"
20024,Chester,While attacking the protagonist,"There! Ah-hah, there!"
20025,Chester,After reducing the protagonist's health to below 11%,What? Now you're feeling the heat? You should have thought long and hard... Nyah hah hah hah hah!
20026,Chester,"Upon killing the protagonist in his hostile, non-Dark Phantom state",You damn fool. I am Marvellous Chester! What did you expect?
20027,Chester,Upon dying,"Hrrg... You win...please... Oh, please...have mercy..."
30001,Ciaran,Talk-1st time,"...Are you human? ...I forgive you. I am here to pay respects to a dear friend. Please, allow me a moment alone."
30002,Ciaran,Talk-1st time holding the Soul of Artorias,"...You, is that not... The soul of the man who fell on this spot? He was a dear friend. I wish to pay proper respect, with that soul. Would you be willing to part with it?"
30003,Ciaran,"Choose ""No"" to the 1st query","Yes, of course... ... ...I must not be presumptuous. Artorias would not have approved."
30004,Ciaran,"Talk-2nd time after choosing ""No"" to the 1st query",What is it? Something else? Have you changed your mind?
30005,Ciaran,"Choose ""No"" after choosing ""No"" to the 1st query",...Then you have no business with me...
30006,Ciaran,"Choose ""Yes"" to the 1st query",Thank you. You are very kind. Please take this. I no longer need it. May the Lord guide thee.
30007,Ciaran,"Talk-2nd time after choosing ""Yes"" to the 1st or 2nd query",May the Lord guide thee.
30008,Ciaran,Upon being attacked-1st time,Hrk!
30009,Ciaran,Upon being attacked-2nd time,Erg!
30010,Ciaran,Upon being attacked-3rd time,Ooh!
30011,Ciaran,Upon being attacked & made hostile,"Hmph, you humans... ...always taking what you please. Then, I shall do the same."
30012,Ciaran,Upon killing the protagonist,"Hmph, such conceit... How did you imagine that the Lord's Blade would not reach you?"
30013,Ciaran,Upon dying,"But, how... You humans... (No caption) My dear Artorias..."
40001,Crestfallen,Talk-1st time,"Well, what do we have here? You must be a new arrival. Let me guess. Fate of the Undead, right? Well, you're not the first. But there's no salvation here. You'd have done better to rot in the Undead Asylum... But, too late now. Well, since you're here... Let me help you out. There are actually two Bells of Awakening. One's up above, in the Undead Church. The other is far, far below, in the ruins at the base of Blighttown. Ring them both, and something happens... Brilliant, right? Not much to go on, but I have a feeling that won't stop you. So, off you go. It is why you came, isn't it? To this accursed land of the Undead? Hah hah hah hah..."
40002,Crestfallen,Talk-1st time as a Hollow,"Oh, your face! You're practically Hollow. It won't be long, if you keep dying like this. You'd best hurry and restore your humanity. But who knows, going Hollow could solve quite a bit! Hah hah hah hah..."
40003,Crestfallen,Talk-2nd time as a Hollow,"Hm, what? Restoring your humanity? Well, there are a few ways to go about it... Collect it bit by bit from corpses, or you can butter up a cleric, and get yourself summoned. And the quickest way, although I'd never do it, is to kill a healthy Undead, and pillage its humanity. Coveting thy neighbour is only human, after all! Hah hah hah hah..."
40004,Crestfallen,Talk-3rd time as a Hollow,What are you looking at? Don't try anything clever. You might regret it.
40005,Crestfallen,Talk-2nd time,"Hm? What, you want to hear more? Oh, that's all we need. Another inquisitive soul. Well, listen carefully, then... One of the bells is up above in the Undead Church, but the lift is broken. You'll have to climb the stairs up the ruins, and access the Undead Burg through the waterway. The other bell is back down below the Undead Burg, within the plague-infested Blighttown. But I'd die again before I step foot in that cesspool! Hah hah hah hah!"
40006,Crestfallen,Talk-3rd time,"Bloody hell, what is it now? You ask too many questions."
40007,Crestfallen,Talk-4th time,Hm? What now? I'm not up for chatting. Leave me alone.
40008,Crestfallen,"Talk-After attempting to talk with Anastacia, and resting at a Bonfire","Oh, have you seen that terribly morose lass? ...The Fire Keeper. She's stuck keeping that bonfire lit. Sad, really. She's mute and bound to this forsaken place. They probably cut her tongue out back in her village, so that she'd never say any god's name in vain. How do these martyrs keep chugging along? I'd peter out in an instant. Hah hah hah hah!"
40009,Crestfallen,Talk-Before entering the New Londo Ruins,"Have you been to the ruins of New Londo below? Just head down the stairs, and take the lift. It's certainly worth a visit. It was once an Undead city. You may find a clue or two. Unless the ghosts find you first... Keh heh heh heh!"
40010,Crestfallen,Talk-Before carring back to the Undead Asylum,"You again? There's nothing to speak about, really. Oh, actually...Something strange did happen. That crow flew off with somebody in its clutches. I think it was a man curled up in a ball. Stranger things have happened, right? No, maybe not..."
40011,Crestfallen,Talk-1st time without upgraded weapon after defeating the Taurus Demon,"Don't you ever think to forge your weapons? You'd better find a smithbox soon, Unless you enjoy swinging about with blunt instruments! Hah hah hah hah!"
40012,Crestfallen,Talk-2nd time without upgraded weapon after defeating the Taurus Demon,"Don't you ever think to forge your weapons? Perhaps you haven't heard of Andre. Visit him in the Old Church, in the forest behind the Undead Church. Perhaps you haven't heard of Andre. You really need to find him. Unless you enjoy swinging about with blunt instruments! Hah hah hah hah!"
40013,Crestfallen,Talk-While carrying an at-risk or broken weapon,"Don't you ever repair your weapons? You just need the right tools, or some powder. If you keep swinging those scraps around, you'll be mistaken for a Hollow! Hah hah hah hah!"
40014,Crestfallen,Talk-Before saving Griggs of Vinheim,"How did that silly sorcerer's apprentice end up? You know, the one always prattling on about Master Logan. He left for the Undead Burg, but never came back. Serves him right. If even Old Big Hat can't make it out there, what chance does he have? I hope he enjoys his new life as a Hollow."
40015,Crestfallen,Talk-After freeing Griggs from the lower Undead Burg,"How did that nutty sorcerer make it back? Unexpected, but I suppose stranger things have happened."
40016,Crestfallen,Talk-Before saving Laurentius from the Depths,"How did that raggedy old chum end up? You know, the one who idolized some godmother of pyromancy. He left for Blighttown, but never came back. Whereas most flee from sickness, he dives right in. Well, nothing will harm him once he goes Hollow."
40017,Crestfallen,Talk-After freeing Laurentius from the Depths,"How did that old man make it back? Unexpected, but I suppose stranger things have happened."
40018,Crestfallen,Talk-After Rhea arrived in Firelink Shrine,"Did you see her? That virtuous little maiden, complete with followers in tow. They're probably going straight to pillage graves. I've heard enough about ""M'Lady"" for a lifetime. What absolute rubbish, eh? Tsk!"
40019,Crestfallen,Talk-After Rhea left from Firelink Shrine,"Did you see that hoity-toity cleric? He went through the graveyard and down into the Catacombs. Clerics speak of some nonsense called Kindling, used to feed bonfires. They're so bloody determined. They practically queue to explore the Catacombs. Hah hah hah hah..."
40020,Crestfallen,Talk-After Petrus to return to Firelink Shrine,That cleric was spared? I never know what the Gods are thinking... Tsk!
