id,Nome,Description
1000,Dagger,"This standard small dagger has only a modest attack but can be jabbed in rapid succession, and is effective in critical hits such as after a parry or when stabbing in the back. With both slash and thrust attacks, this dagger is useful in various situations."
1001,Parrying Dagger,"This dagger is useful after parrying and is normally equipped in the left hand. A favorite of the knights of Carim, who are famous for fighting without a shield."
1002,Ghost Blade,The ghosts of New Londo clutch this wickedly sharp dagger with their bony hands and make mincemeat of the living. One of the cursed weapons which can inflict damage upon ghosts.
1003,Bandit's Knife,"This wide single-edged shortsword is the favorite of lowly thieves and bandits. Primarily a slicing weapon, but highly effective when used for critical hits, such as after parrying or from behind."
1004,Priscilla's Dagger,"This sword, one of the rare dragon weapons, came from the tail of Priscilla, the Dragon Crossbreed in the painted world of Ariamis. Possessing the power of lifehunt, it dances about when wielded, in a fashion reminiscent of the white-robed painting guardians."
1005,Shortsword,"This small straight sword is widely used, to an extent only matched by the longsword. An accessible sword which inflicts consistent regular damage and high thrust damage, making it applicable to a variety of situations."
1006,Longsword,"Widely-used standard straight sword, only matched in ubiquity by the shortsword. An accessible sword which inflicts consistent regular damage and high slash damage, making it applicable to a variety of situations."
1007,Broadsword,The wide blade of this straight sword emphasizes slicing and has no thrust attack. The horizontal sweeping motion makes this sword effective against multiple enemies.
1008,Broken Straight Sword,Half of the blade of this straight sword is broken off. Only the completely Hollowed would even consider using this as a weapon.
1009,Balder Side Sword,"The knights of the ancient kingdom of Balder wielded these rock-solid, long swords which are excellent for thrust attacks. Balder was the home of Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead."
1010,Crystal Straight Sword,"A fully crystallized straight sword. How such a weapon was created is entirely unknown. The crystallization boosts its attack, but makes the blade brittle. The sword cannot be used for long, as it cannot be repaired."
1011,Sunlight Straight Sword,"This standard longsword, belonging to Solaire of Astora, is of high quality, is well- forged, and has been kept in good repair. Easy-to-use and dependable, but unlikely to live up to its grandiose name."
1012,Barbed Straight Sword,"The choice weapon of the infamous Darkwraith Kirk, also known as the Knight of Thorns for the gnarly spikes on his favorite weapon. This frightful sword deals only thrust attacks, and causes heavy bleeding."
1013,Silv. Knight Str. Sword,"The silver knights of Anor Londo guard the city using this beautifully slender weapon. Its chain attacks, in which the wielder takes great advancing steps and makes use of his bodyweight, are deadly even in single hits."
1014,Astora's Straight Sword,"Straight sword of an unknown knight, likely one of Astora's superiors. High-quality weapon with a powerful blessing."
1015,Darksword,"The sword of the knights of the Four Kings of New Londo. Its blade is wide and thick, and it is wielded in an unusual manner. When the Four Kings were seduced by evil, their knights became Darkwraiths, servants of the Dark who wielded these darkswords."
1016,Drake Sword,"This sword, one of the rare dragon weapons, is formed by a drake's tail. Drakes are seen as undeveloped imitators of the dragons, but in they are likely their distant kin. The sword is imbued with a mystical power, to be released when held with both hands."
1017,Straight Sword Hilt,"The hilt of this lost sword was found discarded in the Undead Asylum. Only slightly better than one's bare hands, and not recommended for extensive use. Be certain to find a replacement quickly."
1018,Bastard Sword,This standard greatsword is normally wielded with two hands due to its great weight. Usually swung in large arcs and effective against multiple foes. Far from ideal when fighting in tight quarters.
1019,Claymore,This larger type of greatsword is normally wielded with two hands due to its weight. This highly flexible greatsword can be used to attack in swings or thrusts.
1020,Man-serpent Greatsword,This single-bladed blood-stained greatsword is the choice weapon of the slithering  serpent men of Sen's Fortress. An ordinary human will have great difficulty swinging this heavy beast effectively.
1021,Flamberge,This greatsword with an undulating blade is the choice weapon of the slithering serpent men of Sen's Fortress. This weapon is designed to flay the skin and causes heavy bleeding.
1022,Crystal Greatsword,"A fully crystallized greatsword. How such a weapon was created is entirely unknown. The crystallization boosts its attack, but makes the blade brittle. The sword cannot be used for long, as it cannot be repaired."
1023,Stone Greatsword,The stone knights who guard the Darkroot Garden wield this moss-covered greatsword. The same magic which created the stone knights is imbued in the sword. Unleash this power by wielding the sword with two hands.
