name,alias,type,id,notes
northern undead asylum,,location,1,
firelink shrine,,location,2,Central hub of Lordran. Home to the Fire Keeper and site of a major bonfire.; Mentioned by Logan as a safe place to return to after rescue. Serves as a major hub in the game.
valley of drakes,drake valley,location,3,Adjacent region connected by iron bars to New Londo.
new londo ruins,new londo,location,4,"City consumed by the Abyss; once sealed away by powerful magic.; sealed away by banishment sorcerers; location of Tin Banishment Catalyst; Fallen city where the Darkwraiths originated. Linked to Lifedrain and descent into darkness.; The city where Ingward resides and guards a powerful seal. Known for its dark and cursed nature.; Ruins sealed due to ghostly dangers and ancient Dark.; City ruled by the Four Kings, later consumed by the Dark.; Undead city beneath the surface, full of ghosts and secrets.; A haunted region with cursed ghosts; mentioned as housing a healer and linked to curses.; City sacrificed to contain the Darkwraiths; guarded by Ingward.; A flooded city associated with an ember used by Vamos for smithing."
the abyss,abyss,location,5,"A dark, corruptive realm where Abyss sorceries originate. Known to inflict physical damage due to its human soul connections.; Dark force or realm that consumed Artorias.; Dark force that overtook Oolacile; associated with Knight Artorias and primeval man.; A dark void home to the Darkwraiths; traversed by Artorias according to legend."
undead burg,,location,6,"District containing the great bridge and basement entrance.; Treacherous area connected to many fates, including missing characters.; Lower district of the area; full of poison, pests, and known for danger."
sunlight altar,,location,7,
undead parish,,location,8,
depths,,location,9,Twisting sewer-like region beneath Undead Burg; infested with cursed creatures and man-eating cooks.; Underground region polluted by danger and filth.
blighttown,,location,10,"Toxic swamp inhabited by cursed Undead giants and poison-infused weapons.; A forsaken region possibly linked to Yulva’s return after abandoning her Sealer duty in New Londo.; Place of pestilence connected to the Depths and sealed by key.; Plague-infested area housing one of the Bells of Awakening, far below."
quelaag's domain,,location,11,
daughter of chaos,,character,12,Her soul contains humanity and she views the eggs as cradles for it. Sister of Queelag. One of the daughters of chaos. Also known as Fair Lady
demon ruins,,location,13,
lost izalith,,location,14,"Origin of the Sunlight Maggot. A place associated with parasitic, loathsome lifeforms.; Another region Solaire believes his sun may be found.; A ruined city tied to the flame of a legendary witch, referenced by Vamos."
the great hollow,,location,15,
ash lake,,location,16,Mythic subterranean realm; home of the stone dragon; remnant of the age of dragons.
stone dragon,,character,17,A descendant of ancient dragons; lives in Ash Lake; tail can be severed for a weapon.
darkroot garden,,location,18,"Lush, enchanted forest where stone knights reside; imbued with ancient magic.; Mystical forest with enchanted flora; home of the Moonlight Butterfly.; Habitat of the Moonlight Butterfly; Home of the Stone Knight who uses the Stone Greatshield (Item ID 1162); Forest area guarded by the Stone Knight. Infused with ancient magic.; Area containing the sealed door to Artorias’s grave.; Connected to Darkroot Wood; rumored to house the grave of Artorias and a divine blacksmith."
darkroot basin,,location,19,
sanctuary garden,,location,20,
oolacile sanctuary,,location,21,
royal wood,,location,22,
oolacile township,,location,23,
chasm of the abyss,,location,24,
oolacile township dungeon,,location,25,
battle of stoicism,,location,26,
the catacombs,catacombs,location,27,"Subterranean necropolis crawling with skeletons; home to the reclusive blacksmith Vamos.; A location associated with Kindling and undead skeletons; divine weapons are effective there.; A tomb-like area that young clerics enter to seek Kindling.; A region visited by Patches and Petrus; contains traps, undead enemies, and clerics on missions. Reah becomes stranded here."
tomb of the giants,,location,28,Light-devouring domain of death; associated with Nito
altar of the gravelord,,location,29,
sen's fortress,sen's fortress,location,30,"Trap-laden fortress guarded by serpent men; leads to Anor Londo.; Trap-riddled stronghold guarded by the Iron Golem; tests the strength of heroes before Anor Londo.; A deadly stronghold filled with traps. Home to the Iron Golem that guards the path to Anor Londo.; A deadly fortress guarded by the Iron Golem.; Deadly stronghold containing a hanging cage.; Mentioned by Fortressknight as a place he challenged alone.; Described by Frampt as a deadly house of traps that must be braved to reach the Realm of Lords.; A proving ground built by ancient gods, leads to Anor Londo."
anor londo,,location,31,"Holy capital of the gods; protected by silver and painting knights.; Sacred capital of the gods; home to great halls, silver knights, and powerful blacksmiths.; Divine city ruled by gods; defended by silver knights, sentinels, and great warriors.; Location defended by Silver and Giant Sentinels; associated with divine protection (Item ID 1153); associated with divine protection (Item ID 1161); City of the gods. Home of Lord Gwyn and the giant blacksmith; associated with lightning weapons.; Once the capital of the gods. Home to Silver Knights and the Darkmoon Knightess.; A forsaken capital where several divine figures and guardians reside.; City guarded by knights like Ornstein and Smough; sought by many heroes.; Deserted city guarded by Gwyndolin.; Cautioned against visiting it due to its difficulty and deadly nature.; A major location mentioned as a place Solaire searched for his sun.; A city reached through Sen's Fortress, destination of many adventurers."
chamber of the princess,,location,32,
darkmoon tomb,,location,33,
the duke's archives,duke's archives,location,34,Tower turned prison where Seath’s madness led to horrific experiments.; A place of immense knowledge and Seath’s domain. Holds the Primordial Crystal and tomes on sorcery.
crystal cave,,location,35,
painted world of ariamis,ariamis,location,36,World where Priscilla resides; Mentioned as the Painted World of Ariamis.; Sealed painted realm; home to Priscilla and the Lifehunt Scythe; Realm where Priscilla is trapped.; Wintery world containing cathedral and annex.
firelink altar,,location,37,Altar where the Lordvessel is placed and filled with powerful souls.
kiln of the first flame,,location,38,
